idLattes;Docente;Categoria;Grande Area;Area de Avaliacao;Codigo;AreaPos;Programa
9293816616786808;ALESSANDRA MONTEIRO DE PAULA;PERMANENTE;CIÊNCIAS AGRÁRIAS ;CIÊNCIAS AGRÁRIAS I ;50100009;AGRONOMIA;AGRONOMIA (53001010071P8)
6823749061158873;ANA MARIA RESENDE JUNQUEIRA;PERMANENTE;CIÊNCIAS AGRÁRIAS ;CIÊNCIAS AGRÁRIAS I ;50100009;AGRONOMIA;AGRONOMIA (53001010071P8)
1377231146497584;CARLOS ROBERTO SPEHAR;COLABORADOR                               ;CIÊNCIAS AGRÁRIAS ;CIÊNCIAS AGRÁRIAS I ;50100009;AGRONOMIA;AGRONOMIA (53001010071P8)
5156205327629139;CICERO CELIO DE FIGUEIREDO;PERMANENTE;CIÊNCIAS AGRÁRIAS ;CIÊNCIAS AGRÁRIAS I ;50100009;AGRONOMIA;AGRONOMIA (53001010071P8)
2083177029086258;CRISTINA SCHETINO BASTOS;PERMANENTE;CIÊNCIAS AGRÁRIAS ;CIÊNCIAS AGRÁRIAS I ;50100009;AGRONOMIA;AGRONOMIA (53001010071P8)
0720020819590155;DELVIO SANDRI;PERMANENTE;CIÊNCIAS AGRÁRIAS ;CIÊNCIAS AGRÁRIAS I ;50100009;AGRONOMIA;AGRONOMIA (53001010071P8)
0646231743976574;ERNANDES RODRIGUES DE ALENCAR;PERMANENTE;CIÊNCIAS AGRÁRIAS ;CIÊNCIAS AGRÁRIAS I ;50100009;AGRONOMIA;AGRONOMIA (53001010071P8)
9679761162805267;FABIO GELAPE FALEIRO;PERMANENTE;CIÊNCIAS AGRÁRIAS ;CIÊNCIAS AGRÁRIAS I ;50100009;AGRONOMIA;AGRONOMIA (53001010071P8)
6403427750833514;JADER GALBA BUSATO;PERMANENTE;CIÊNCIAS AGRÁRIAS ;CIÊNCIAS AGRÁRIAS I ;50100009;AGRONOMIA;AGRONOMIA (53001010071P8)
9060811362708757;JEAN KLEBER DE ABREU MATTOS;COLABORADOR                               ;CIÊNCIAS AGRÁRIAS ;CIÊNCIAS AGRÁRIAS I ;50100009;AGRONOMIA;AGRONOMIA (53001010071P8)
5990262710309494;JOSE RICARDO PEIXOTO;PERMANENTE;CIÊNCIAS AGRÁRIAS ;CIÊNCIAS AGRÁRIAS I ;50100009;AGRONOMIA;AGRONOMIA (53001010071P8)
3545257559534992;LUIZ EDUARDO BASSAY BLUM;PERMANENTE;CIÊNCIAS AGRÁRIAS ;CIÊNCIAS AGRÁRIAS I ;50100009;AGRONOMIA;AGRONOMIA (53001010071P8)
9070338849414583;MARCELO FAGIOLI;PERMANENTE;CIÊNCIAS AGRÁRIAS ;CIÊNCIAS AGRÁRIAS I ;50100009;AGRONOMIA;AGRONOMIA (53001010071P8)
4604432283693781;MARCIO DE CARVALHO PIRES;COLABORADOR                               ;CIÊNCIAS AGRÁRIAS ;CIÊNCIAS AGRÁRIAS I ;50100009;AGRONOMIA;AGRONOMIA (53001010071P8)
6416589151349057;MARIA LUCRECIA GEROSA RAMOS;PERMANENTE;CIÊNCIAS AGRÁRIAS ;CIÊNCIAS AGRÁRIAS I ;50100009;AGRONOMIA;AGRONOMIA (53001010071P8)
2140011545912735;MARILUSA PINTO COELHO LACERDA;PERMANENTE;CIÊNCIAS AGRÁRIAS ;CIÊNCIAS AGRÁRIAS I ;50100009;AGRONOMIA;AGRONOMIA (53001010071P8)
5391690094132752;NARA OLIVEIRA SILVA SOUZA;PERMANENTE;CIÊNCIAS AGRÁRIAS ;CIÊNCIAS AGRÁRIAS I ;50100009;AGRONOMIA;AGRONOMIA (53001010071P8)
6110730954006985;OSVALDO KIYOSHI YAMANISHI;COLABORADOR                               ;CIÊNCIAS AGRÁRIAS ;CIÊNCIAS AGRÁRIAS I ;50100009;AGRONOMIA;AGRONOMIA (53001010071P8)
2233509314950341;RICARDO CARMONA;PERMANENTE;CIÊNCIAS AGRÁRIAS ;CIÊNCIAS AGRÁRIAS I ;50100009;AGRONOMIA;AGRONOMIA (53001010071P8)
9239372895737198;ROSE GOMES MONNERAT SOLON DE PONTES;PERMANENTE;CIÊNCIAS AGRÁRIAS ;CIÊNCIAS AGRÁRIAS I ;50100009;AGRONOMIA;AGRONOMIA (53001010071P8)
7920357457851780;TAIRONE PAIVA LEAO;PERMANENTE;CIÊNCIAS AGRÁRIAS ;CIÊNCIAS AGRÁRIAS I ;50100009;AGRONOMIA;AGRONOMIA (53001010071P8)
